Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Mag X,Mag Y,Mag Z,Pitch,Roll,Yaw
0.006307,-0.002889,-0.994807,0.003677,0.002781,0.003730,0.045853,0.301757,0.292506,0.003102,0.009975,-1.416117
0.006770,-0.003553,-0.995895,-0.001004,0.000788,0.001889,0.045537,0.301865,0.292886,0.003066,0.009980,-1.416077
0.007400,-0.003373,-0.996895,-0.003046,-0.001580,0.000686,0.045702,0.301516,0.293641,0.003062,0.009960,-1.416058
0.007074,-0.003139,-0.996010,-0.004064,0.004402,-0.002094,0.045368,0.301830,0.293704,0.003014,0.010013,-1.416083
0.007239,-0.002905,-0.995900,0.001788,0.003703,-0.002881,0.045017,0.301460,0.292046,0.003046,0.010060,-1.416100
0.006998,-0.002231,-0.995241,0.005205,0.001277,0.000513,0.045431,0.301367,0.291909,0.003087,0.010051,-1.416091
0.007358,-0.003079,-0.995173,0.001101,0.001594,0.003219,0.045679,0.301608,0.292889,0.003095,0.010068,-1.416060
0.006796,-0.002629,-0.994686,-0.001585,0.003753,0.002084,0.045838,0.301677,0.291984,0.003057,0.010116,-1.416021
0.006634,-0.002599,-0.995845,0.000051,-0.000211,0.000776,0.045244,0.301932,0.291284,0.003059,0.010062,-1.415998
0.006287,-0.002067,-0.996007,0.002042,-0.001094,0.000903,0.045245,0.302218,0.292693,0.003087,0.010080,-1.416009
0.006120,-0.002850,-0.995123,-0.000891,0.002403,-0.001627,0.045564,0.302310,0.293222,0.003051,0.010089,-1.416020
0.006303,-0.002655,-0.994931,0.000817,-0.004452,-0.001102,0.045971,0.302293,0.293575,0.003065,0.010022,-1.416030
0.006060,-0.001855,-0.995311,-0.002753,-0.003215,0.003081,0.046196,0.301156,0.292769,0.003028,0.010016,-1.415989
